GigabitEthernet1/3/9,5e 26 e0 f1 59 96,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/9,86 d2 1e df c6 50,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/9,9a 33 f8 a3 50 b4,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/9,da ef 61 d4 74 c5,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/9,fe a8 41 27 a4 95,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,00 30 48 c2 ab 10,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,06 62 19 c4 8d 53,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,12 3d b2 78 e7 96,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,26 ac ab 8c 5e 94,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,52 2b 59 6d 66 e8,10.10.130.4,ls4-130-v.nyc0.ls.local,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,66 02 46 b6 eb 72,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,66 a9 42 a6 b7 bd,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,72 07 ba 89 d7 98,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,8a 0f 1c 24 55 b3,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,8e 0d 0f 92 7e a4,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,96 6b d9 de 02 05,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,ca c3 6f 70 d6 2c,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/25,ca c6 9c 64 f6 5c,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,00 30 48 c2 b1 0c,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,36 21 0f 0f 94 27,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,3e e9 00 5f 24 bf,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,4e f1 eb 92 54 1f,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,5e c9 0e b3 4f 94,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,a2 04 90 d6 33 3e,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,b2 0f 43 f9 d4 f3,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,be 03 ba d0 01 ae,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,c2 4d 1f fb 8e 60,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,e6 a9 e3 e6 b4 5c,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/26,fe 54 1b 63 bb 34,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/27,00 15 17 aa ec d8,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/28,00 c0 b7 53 7b 8b,None,None,vlan100,up,up,fullDuplex,100mb,
GigabitEthernet1/3/29,00 c0 b7 55 03 e9,None,None,vlan100,up,up,fullDuplex,100mb,
GigabitEthernet1/3/30,00 30 48 c8 1d f8,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/31,00 c0 b7 52 b7 fe,None,None,vlan100,up,up,fullDuplex,100mb,
GigabitEthernet1/3/32,00 30 48 c8 1d fc,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/33,00 c0 b7 55 1f b6,None,None,vlan100,up,up,fullDuplex,100mb,
GigabitEthernet1/3/34,00 15 17 ac 3b dc,10.10.1.33,Pointer Record Not set for 10.10.1.33,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/35,00 c0 b7 54 78 30,None,None,vlan100,up,up,fullDuplex,100mb,
GigabitEthernet1/3/36,00 18 8b 37 51 33,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,2a 0c e4 3c af 84,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,2a 7b 25 6f f5 da,10.10.135.3,ls3-135-v.nyc0.ls.local,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,56 4a cb 1d 20 51,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,5a b2 05 a1 42 9e,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,a6 4c c6 04 56 e9,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,a6 5c 69 03 03 3a,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,ae 86 ca 32 b5 0d,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,c2 a6 32 cb 5d 71,10.10.135.4,ls4-135-v.nyc0.ls.local,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,d2 f9 55 08 19 08,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/37,ea e0 09 15 b5 a1,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/38,00 30 48 c8 1d 26,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/3/40,00 30 48 c8 1d 3a,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/2,00 18 8b 4d 1b 95,10.10.4.31,ls31-4-p.nyc0.ls.local,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/7,00 18 8b 37 5c 75,10.10.4.29,ls29-4-p.nyc0.ls.local,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/31,00 25 90 29 f7 2f,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/33,00 30 48 cd 19 5e,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/34,00 30 48 cd 15 22,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/35,82 57 f1 e5 b3 aa,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/35,86 0f 00 99 70 c1,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/35,86 e3 3a 94 07 d8,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/35,b6 94 95 ed 49 93,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/35,b6 df 0c f9 6e 98,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/35,ca 38 f1 d7 05 76,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/35,d2 d9 33 4a da 84,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/35,de d6 a7 97 e9 97,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/35,ee 6b bf f6 59 4c,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/36,00 30 48 d3 05 04,10.10.1.37,Pointer Record Not set for 10.10.1.37,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/37,00 30 48 d3 b6 1e,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/38,00 30 48 d3 b6 24,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/39,00 30 48 d3 b5 7a,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/41,00 25 90 29 f7 51,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/42,00 30 48 65 df a6,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/43,00 25 90 2a c0 61,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/44,00 25 90 29 f3 e9,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/45,00 25 90 29 f7 55,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet1/9/48,00 25 90 29 f7 11,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet2/1/25,00 15 17 ac 44 38,10.10.2.33,ls33-2-p.nyc0.ls.local,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet2/1/25,0e cb 6d de 5e 00,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet2/1/25,12 ea 8d 24 cc 60,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet2/1/25,16 5b 11 e7 f5 fc,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet2/1/25,1a a8 77 42 47 00,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet2/1/25,56 a1 e9 2f dd 3c,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet2/1/25,5e 2e 83 a5 59 86,None,None,vlan100,up,up,fullDuplex,1000mb,
GigabitEthernet2/1/25,72 26 20 ce 22 7e,10.10.137.7,ls7-137-v.nyc0.ls.local,vlan100,up,up,fullDuplex,1000mb,
